stage,training_population,class_definition,grouping_unit,row_group_weight,class_factor,final_normalization,oversampling,undersampling
STAGE_A,SIM_TRAIN_ALL,HEALTHY_vs_FAULT,FaultCode_x_Load_x_SpeedRef,1 / rows_in_fault_condition_group,N_groups_total / (K * N_groups_in_class),mean_sample_weight_equals_1,False,False
STAGE_B,SIM_TRAIN_TRUE_FAULT_ONLY,FAULT_GROUP_1_vs_2_vs_3,FaultCode_x_Load_x_SpeedRef,1 / rows_in_fault_condition_group,N_groups_total / (K * N_groups_in_class),mean_sample_weight_equals_1,False,False
