stage,task,model_family,representation,predictor_count,sim_validation_macro_f1,selection_status
STAGE_A,HEALTHY_vs_FAULT,HIST_GRADIENT_BOOSTING,ENGINEERED_14,14,1.0,LOCKED
STAGE_B,FAULT_GROUP_1_vs_2_vs_3,HIST_GRADIENT_BOOSTING,RAW_7,7,1.0,LOCKED
